id,url,title,component_type,content_text,provider,governance,states,reading_level,hierarchy_lvl0,hierarchy_lvl1,hierarchy_lvl2,hierarchy_lvl3,has_form,has_checklist,search_keywords
105da3d8728382e30c790314cc124d37,https://my.gov.au/en/about/help#105da3d8728382e30c790314cc124d37,Help using myGov,content,"Get help to create a myGov account, download the myGov app, link services and manage your account.",Services Australia,Federal Government,['National'],9,Help using myGov,,,,False,False,"['mygov', 'account', 'help', 'create', 'download', 'link', 'services', 'manage', 'your']"
02b374256795265da71930cc8add7b0c,https://my.gov.au/en/about/help#02b374256795265da71930cc8add7b0c,Thank you for your feedback,form,,Services Australia,Federal Government,['National'],12,Help using myGov | myGov,,,Thank you for your feedback,True,False,[]
8bf5c3f743127204e64f4e8f3396f996,https://my.gov.au/en#8bf5c3f743127204e64f4e8f3396f996,myGov,content,,Services Australia,Federal Government,['National'],12,myGov,,,,False,False,[]
d4dc84b63a17a874a6787bf114db5870,https://my.gov.au/en#d4dc84b63a17a874a6787bf114db5870,Find support,content,"Explore what help is available to support you through different stages of your life.

    
        
    Explore",Services Australia,Federal Government,['National'],6,myGov Home | myGov,Find support,,,False,False,"['explore', 'what', 'help', 'available', 'support', 'through', 'different', 'stages', 'your', 'life']"
a40f099e5a7c2a4dfe6f43175173a31b,https://my.gov.au/en/about/help/mygov-website#a40f099e5a7c2a4dfe6f43175173a31b,myGov website,content,Find out how to create and manage your account.,Services Australia,Federal Government,['National'],4,myGov website,,,,False,False,"['find', 'create', 'manage', 'your', 'account']"
7b380d25295b41408fe68527ab6f5b79,https://my.gov.au/en/about/help/mygov-website#your-mygov-account-and-the-mygov-app,Your myGov account and the myGov app,content,"You can’t create a myGov account in the myGov app.You need to create a myGov account on the myGov website before you set up your myGov app.When you have a myGov account, you access the same account through the myGov app.",Services Australia,Federal Government,['National'],7,myGov website | myGov,Your myGov account and the myGov app,,,False,False,"['mygov', 'account', 'create', 'need', 'website', 'before', 'your', 'when', 'access', 'same']"
308aeb62bc7e4170c316433ff48b133f,https://my.gov.au/en/about/help/mygov-website#what-you-can-do-with-your-mygov-account,What you can do with your myGov account,content,"Creating a myGov account allows you to link and access the government services you need, in one place.Having a myGov account also means you can:
               get secure messages in your myGov Inbox from participating services linked to your myGov account
               update your contact details with participating services linked to your myGov account
               access your account using the myGov app.",Services Australia,Federal Government,['National'],12,myGov website | myGov,What you can do with your myGov account,,,False,False,"['mygov', 'account', 'your', 'services', 'access', 'participating', 'linked', 'creating', 'allows', 'link']"
2cca535f57c03ab4b1e6e45432f18051,https://my.gov.au/en/about/help/mygov-website#2cca535f57c03ab4b1e6e45432f18051,Thank you for your feedback,form,,Services Australia,Federal Government,['National'],12,myGov website | myGov,,,Thank you for your feedback,True,False,[]
69b172170a0e0362fcbf518a3c9f05d4,https://my.gov.au/en/about/help/mygov-website/create-mygov-account/detailed-steps-on-how-to-create-a-mygov-account#69b172170a0e0362fcbf518a3c9f05d4,Detailed steps on how to create a myGov account,content,Get the detailed step by step instructions on how to create a myGov account.,Services Australia,Federal Government,['National'],7,Detailed steps on how to create a myGov account,,,,False,False,"['step', 'detailed', 'instructions', 'create', 'mygov', 'account']"
4ed49908936d5663b3e12e28c90262cb,https://my.gov.au/en/about/help/mygov-website/create-mygov-account/detailed-steps-on-how-to-create-a-mygov-account#step-1:-create-an-account,Step 1: create an account,content,Go to myGov and select Create a myGov account.,Services Australia,Federal Government,['National'],6,Detailed steps on how to create a myGov account | myGov,Step 1: create an account,,,False,False,"['mygov', 'select', 'create', 'account']"
